pid,date,condition,condition_number,phase,session_duration,complete,approvals,age,sex,ethnic,nation,OS,frameRate,trees,fruits,n_low_consumed,n_hi_consumed,textbox.text,trialCount,use_master_forest,redistribute_fruit,mouse.time,high_fruit
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,8,8,Type here ...,1,FALSE,TRUE,"[0.9717999999523101,3.2873999998569445,4.978099999904629,7.97479999995231,10.84459999990463,13.525399999856944,16.36719999980926,17.493299999952313,20.213299999952298,22.19059999990462,23.417500000000004,23.841399999856932,25.856799999952315,28.499799999952288,29.380399999856976,30.299899999856947,30.63449999999999,31.177000000000007,31.512299999952333,31.679299999952306,33.39159999990464,36.3455,37.07389999985695,37.75059999990462,38.13419999980924,40.00229999995234,40.503899999856955,42.65439999985692,44.35149999999997,44.65159999990463,45.37999999999998]",apple
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,13,7,Type here ...,2,FALSE,TRUE,"[1.2481999998092874,2.90300000000002,4.5434999999999945,7.218000000000018,8.981599999904631,11.843000000000018,13.842199999809282,16.508000000000038,17.67719999980926,18.15879999995235,19.896099999904663,21.602299999952322,22.551799999952323,24.46359999990466,27.43479999995236,27.615499999999997,28.176699999809273,30.817599999904644,33.64000000000004,35.58239999985699,36.43259999990465,38.19279999995234,39.186199999809276,39.944399999856955,40.24359999990463,42.141699999809305,42.85400000000004,44.44089999985698,46.045500000000004,48.1155]",apple
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,8,8,Type here ...,3,FALSE,TRUE,"[1.0547999999523086,2.6431999998092692,4.264099999904602,7.143299999952319,7.907299999952272,10.689899999856948,12.8507999999523,13.990599999904589,16.704799999952286,18.365399999856947,20.051799999952323,22.84309999990461,25.739199999809273,28.75009999990459,30.607399999856966,31.382199999809245,31.775799999952312,33.41959999990462,36.13329999995233,38.803]",apple
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,0,10,Type here ...,4,FALSE,TRUE,"[1.2544000000953588,1.9830999999046526,2.6044000000953815,3.147700000047678,3.7617000000477105,6.675299999952301,9.610299999952304,10.232900000095356,10.53000000000003,10.837299999952336,13.673400000095398,14.754299999952309,17.404599999904633,17.94729999995235,18.885700000047677,19.238499999999988,21.934799999952304,22.631799999952307,22.901900000095395,23.239299999952323,25.921900000095377,26.232900000095356,29.16720000004767,32.067099999904656,32.783299999952305,33.537200000047676,36.25979999995235,37.125799999952335,37.99359999990463,38.85270000004772,39.12409999990467,39.37920000004772,40.08209999990464]",apple
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,9,8,Type here ...,5,FALSE,TRUE,"[1.3581000001430539,3.0683000001907317,4.595000000000027,6.467600000143079,9.204400000095404,9.900600000143072,11.887300000190749,13.815900000095382,16.89949999999999,17.720700000047714,19.55030000019076,21.418700000047693,24.269700000047692,27.1875,29.052800000190757,29.790700000047707,32.527200000047685,35.26360000014307,35.59240000009538,38.28450000000004,38.99350000000004,39.32850000000002,39.811000000000035,41.49720000004771,42.40560000014307,43.15500000000003]",apple
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,15,7,Type here ...,6,FALSE,TRUE,"[1.17349999999999,1.9264000000953843,3.7885999999046476,3.977599999904612,5.768799999952307,6.695099999904642,8.385900000095376,11.029299999952286,13.700599999904625,15.408999999999992,17.08740000009533,17.838099999904614,18.600400000095362,20.434599999904606,22.398299999952314,23.175200000047653,23.949400000095352,24.76240000009534,25.219200000047692,27.146400000095355,28.815799999952333,31.914599999904624,33.8247000000477,36.52429999995229,37.811599999904615,39.83090000009537,41.56929999995231,43.273400000095364,44.377599999904646,45.418299999952296,46.14529999995233,46.523099999904616,46.9925999999046,48.74040000009535,48.84670000004769,51.632299999952295,52.48640000009533,53.18120000004768,54.00079999995228,55.63479999995229,58.341900000095336,59.351999999999975]",apple
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,11,8,Type here ...,7,FALSE,TRUE,"[1.228999999999985,3.01400000000001,3.8555000000000064,4.169700000047669,6.758500000000026,8.557399999856955,10.432700000047703,12.067399999856946,13.134200000047713,13.919200000047681,14.580099999904633,14.87489999985695,17.73750000000001,18.561799999952314,19.772700000047678,22.4977000000477,23.430200000047705,25.273500000000013,28.20989999985693,29.18549999999999,32.1105,34.874099999904615,36.70870000004771,37.774799999952336,38.40389999985695,38.76070000004768,41.463200000047664,42.31820000004768,44.214899999856925,46.12650000000002,47.71120000004771,48.51609999990461,48.666,49.384299999952304,50.08259999990463,52.097799999952315,53.1703999998569,53.62659999990461,55.40320000004766]",apple
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,8,8,Type here ...,8,FALSE,TRUE,"[1.482799999952249,4.115799999952287,5.982999999999947,6.855599999904598,9.559199999809266,10.521299999952248,12.311399999856917,13.215699999809203,15.030099999904564,15.877899999856936,18.585299999952326,19.04319999980919,19.942899999856877,22.95239999985688,23.656899999856932,24.600399999856904,26.25839999985692,29.20339999985697,31.09219999980928,32.07869999980926,32.492899999856945,35.13279999995234,35.61829999995234,38.49339999985693,41.21339999985696,43.10929999995233,44.89659999990465,45.92129999995234]",apple
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,9,8,Type here ...,9,FALSE,TRUE,"[1.4489999999999554,3.424900000095363,6.30529999995224,8.06120000004762,10.743299999952342,12.410600000143063,14.184799999952247,17.11340000009534,17.580200000047626,19.26020000004769,21.065799999952333,23.842200000047683,26.49570000004769,28.310700000047632,31.155900000095357,32.26850000000002,34.98249999999996,36.8895,38.578299999952264,39.615900000095394]",apple
5d15b34e0b1f87000115ec96,2023-07-10T09:56:15Z,different forests:random fruit,6,experimental,716.2920000553131,ok,582,NA,Female,Asian,Canada,Win32,59.85156811,different forests,random fruit,8,8,Type here ...,10,FALSE,TRUE,"[1.1061000001431012,3.8103000001907503,5.570800000190729,6.525600000143072,9.335000000000036,10.067300000190812,11.871800000190774,13.51180000019076,15.521800000190751,15.879800000190812,16.22300000000007,19.000900000095385,19.322000000000003,21.289100000143094,23.989300000190724,24.72460000014314,25.583100000143077,26.48380000019074,29.381800000190765,31.246700000047667,32.31860000014308,33.136100000143074,33.632100000143055,36.240700000047696,39.18150000000003,39.65220000004774,39.997100000143064,41.0343000001908,42.948300000190784,44.73300000000006,45.59500000000003,48.32460000014305]",apple
