pp,Age,Valence,vidrep,mean_accuracy,mean_z_score,mean_rt
EPI_Y_M010,Age: young,Positive,Video repetition: 3,0.5555555555555556,0.25113026584197823,1.91504
EPI_Y_M011,Age: young,Neutral,Video repetition: 1,0.7857142857142857,-0.10164471396863645,3.564
EPI_Y_M011,Age: young,Neutral,Video repetition: 2,0,NA,NA
EPI_Y_M011,Age: young,Neutral,Video repetition: 3,0.375,-0.7587677492093374,3.0513333333333335
EPI_Y_M011,Age: young,Negative,Video repetition: 1,0.3333333333333333,1.1673119925755,4.554
EPI_Y_M011,Age: young,Negative,Video repetition: 2,0.8181818181818182,0.22990761070417504,3.822666666666666
EPI_Y_M011,Age: young,Negative,Video repetition: 3,0.7142857142857143,0.1070281666630662,3.7268
EPI_Y_M011,Age: young,Positive,Video repetition: 1,0.25,0.3239044037815184,3.896
EPI_Y_M011,Age: young,Positive,Video repetition: 2,0.9090909090909092,-0.6410154029724471,3.1432
EPI_Y_M011,Age: young,Positive,Video repetition: 3,0.8888888888888888,0.2107878084759428,3.80775
EPI_Y_M012,Age: young,Neutral,Video repetition: 1,0.875,-0.2580286579982207,2.810857142857143
EPI_Y_M012,Age: young,Neutral,Video repetition: 2,0.625,-0.1027847814806274,2.9408
EPI_Y_M012,Age: young,Neutral,Video repetition: 3,0.75,-0.8506326743224337,2.3148333333333335
EPI_Y_M012,Age: young,Negative,Video repetition: 1,0,NA,NA
EPI_Y_M012,Age: young,Negative,Video repetition: 2,1,0.1138457939007143,3.122125
EPI_Y_M012,Age: young,Negative,Video repetition: 3,0.7,0.5105104536538497,3.454142857142857
EPI_Y_M012,Age: young,Positive,Video repetition: 1,0.5454545454545454,0.437263425283723,3.392833333333334
EPI_Y_M012,Age: young,Positive,Video repetition: 2,0.75,-0.02946948403551497,3.0021666666666667
EPI_Y_M012,Age: young,Positive,Video repetition: 3,0.4,-1.0505472822390354,2.1475
EPI_Y_R003,Age: young,Neutral,Video repetition: 1,0.7,0.4816820910357677,2.021714285714286
EPI_Y_R003,Age: young,Neutral,Video repetition: 2,1,-0.3865232240257286,1.5493333333333332
